Title,Source,Published At,URL,Content
"Ukrainian drone attack damages 2 hangars, satellite images show, as fighting in Russia grinds on - The Associated Press",Slashdot.org,2024-08-15T14:15:00Z,https://slashdot.org/firehose.pl?op=view&amp;id=174759030,Check out the new Slashdot job board to browse remote jobs or jobs in your areaDo you develop on GitHub? You can keep using GitHub but automatically sync your GitHub releases to SourceForge quickly a… [+228 chars]
Ukraine captures town of Sudzha in Russia’s Kursk region as it says advance continues | CNN,CNN,2024-08-15T14:12:57Z,https://www.cnn.com/2024/08/15/europe/kursk-incursion-sudzha-captured-ukraine-intl/index.html,"Ukrainian President Volodymyr Zelensky said on Thursday that Ukrainian forces have taken control of the Russian town of Sudzha, over a week after his forces launched a cross-border incursion into Rus… [+1794 chars]"
"Ukraine, Russia both claim advances in Kursk region",Hurriyet Daily News,2024-08-15T14:06:38Z,https://www.hurriyetdailynews.com/ukraine-russia-both-claim-advances-in-kursk-region-199566,"KIEV
Ukraine on Thursday claimed fresh advances in its cross-border offensive into Russia, where it said it had seized over a thousand square kilometres, the biggest attack by a foreign army on Russ… [+4126 chars]"
"Ukraine, Russia Both Claim Advances In Kursk Region",International Business Times,2024-08-15T14:06:18Z,https://www.ibtimes.com/ukraine-russia-both-claim-advances-kursk-region-3739868,"Ukraine on Thursday claimed fresh advances in its cross-border offensive into Russia, where it said it had seized over a thousand square kilometres, the biggest attack by a foreign army on Russian so… [+4036 chars]"
"Two killed, seven injured in Russian bomb attacks on Ukraine's Kharkiv region",The Star Online,2024-08-15T14:06:00Z,https://www.thestar.com.my/news/world/2024/08/15/two-killed-seven-injured-in-russian-bomb-attacks-on-ukraine039s-kharkiv-region,"(Reuters) - Russian guided bomb attacks on Thursday killed at least two people and injured seven more in Ukraine's northeastern Kharkiv region, local authorities said. 
The deadly strike hit a civil… [+838 chars]"
Zelensky says Ukraine has captured key Russian town,The Hill,2024-08-15T14:04:33Z,https://thehill.com/policy/defense/4829130-ukraine-captures-sudzha-russian-kursk/,"Ukrainian President Volodymyr Zelensky on Thursday said Ukraine has captured the key town of Sudzha in the Russian Kursk region, providing his forces with an important foothold as troops continue to … [+1820 chars]"
[Removed],[Removed],1970-01-01T00:00:00Z,https://removed.com,[Removed]
"Ukraine, Russia both claim advances in Kursk region",Digital Journal,2024-08-15T14:03:19Z,https://www.digitaljournal.com/world/ukraine-russia-both-claim-advances-in-kursk-region/article,"The assault took Russian troops by surprise - Copyright AFP/File Mandel NGAN
Ukraine on Thursday claimed fresh advances in its cross-border offensive into Russia, where it said it had seized over a … [+4207 chars]"
U.S. Soldier Justified In Shooting 'Suspicious' Russian: Police,Newsweek,2024-08-15T14:02:48Z,https://www.newsweek.com/us-soldier-justified-shooting-suspicious-russian-north-carolina-1939128,The Moore County Sheriff's Office in North Carolina has concluded after an investigation that a U.S. soldier was justified in the fatal shooting of a native Russian man who was taking photos near his… [+3748 chars]
Ten simple rules for successfully managing EU research grants,Plos.org,2024-08-15T14:00:00Z,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1012335,"Citation: Pina DG (2024) Ten simple rules for successfully managing EU research grants. PLoS Comput Biol 20(8):
 e1012335.
https://doi.org/10.1371/journal.pcbi.1012335
Editor: Russell Schwartz, Ca… [+40213 chars]"
